[2026-06-22T17:30:49] nave=44363 tipo=venta recurso=deuterio cantidad=2140 precio=21400
[2026-06-22T17:30:54] nave=44363 tipo=venta recurso=mutexio cantidad=1040 precio=20800
[2026-06-22T17:30:55] nave=44363 tipo=venta recurso=semaforita cantidad=1010 precio=15150
[2026-06-22T17:30:55] nave=44363 tipo=venta recurso=kernelio cantidad=2520 precio=63000
[2026-06-22T17:31:01] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:02] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:10] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:10] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:11] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:13] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:13] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:13] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:14] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:14] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:14] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:15] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:17] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:18] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:19] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:19] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:19] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:19] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:20] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:20] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:20] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:20] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:21] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:21] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:21] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:22] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:22] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:22] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:23] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:23] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:23] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:23] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:23] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:24] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:25] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:25] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:25] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:25] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:25] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:26] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:26] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-22T17:31:26] nave=44363 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:18] nave=53190 tipo=venta recurso=deuterio cantidad=1860 precio=18600
[2026-06-28T22:08:20] nave=53190 tipo=venta recurso=mutexio cantidad=2620 precio=52400
[2026-06-28T22:08:20] nave=53190 tipo=venta recurso=semaforita cantidad=1840 precio=27600
[2026-06-28T22:08:21] nave=53190 tipo=venta recurso=kernelio cantidad=2690 precio=67250
[2026-06-28T22:08:27] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:27] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:29] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:29] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:29] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:29] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:29] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:30] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:30] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:30] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:31] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:31] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:31] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:31] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
